10:10:22.120 [브랜드별 최고 매출 스토어 분석 -> (Sink: 브랜드별 베스트 스토어 싱크, Sink: Print to Std. Out) (1/1)#0] INFO  c.e.b.f.BrandBestStoreProcessor - Updated store sales - franchise_id: 2, brand: 대한국밥, store: 구미봉곡로점, amount: 175000, total: 175000
10:10:22.121 [브랜드별 최고 매출 스토어 분석 -> (Sink: 브랜드별 베스트 스토어 싱크, Sink: Print to Std. Out) (1/1)#0] INFO  c.e.b.f.BrandBestStoreProcessor - Updated store sales - franchise_id: 8, brand: 백스비어, store: 광주첨단점, amount: 20700, total: 20700
10:10:22.121 [브랜드별 최고 매출 스토어 분석 -> (Sink: 브랜드별 베스트 스토어 싱크, Sink: Print to Std. Out) (1/1)#0] INFO  c.e.b.f.BrandBestStoreProcessor - Updated store sales - franchise_id: 13, brand: 역전우동0410, store: 신대방삼거리역점, amount: 64500, total: 64500
10:10:22.121 [브랜드별 최고 매출 스토어 분석 -> (Sink: 브랜드별 베스트 스토어 싱크, Sink: Print to Std. Out) (1/1)#0] INFO  c.e.b.f.BrandBestStoreProcessor - Updated store sales - franchise_id: 11, brand: 빽보이피자, store: 인천부평점, amount: 93900, total: 93900
10:10:22.121 [브랜드별 최고 매출 스토어 분석 -> (Sink: 브랜드별 베스트 스토어 싱크, Sink: Print to Std. Out) (1/1)#0] INFO  c.e.b.f.BrandBestStoreProcessor - Updated store sales - franchise_id: 3, brand: 돌배기집, store: 부천롯데점, amount: 169200, total: 169200
10:10:30.447 [Legacy Source Thread - Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] INFO  c.e.brand_sales.BrandAnalyticsApp - 영수증 수신: franchise_id=2, brand=대한국밥, store=구미봉곡로점, time=2025-05-19 10:10:30, amount=98000
10:10:30.448 [Legacy Source Thread - Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] INFO  c.e.b.functions.TodayReceiptFilter - Receipt time: 2025-05-19 10:10:30, Today: 2025-05-19, Filter result: true
10:10:30.453 [Legacy Source Thread - Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] INFO  c.e.brand_sales.BrandAnalyticsApp - 영수증 수신: franchise_id=9, brand=본가, store=파주운정점, time=2025-05-19 10:10:30, amount=139000
10:10:30.454 [Legacy Source Thread - Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] INFO  c.e.b.functions.TodayReceiptFilter - Receipt time: 2025-05-19 10:10:30, Today: 2025-05-19, Filter result: true
10:10:30.454 [Legacy Source Thread - Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] INFO  c.e.brand_sales.BrandAnalyticsApp - 영수증 수신: franchise_id=2, brand=대한국밥, store=구미봉곡로점, time=2025-05-19 10:10:30, amount=36000
10:10:30.455 [Legacy Source Thread - Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] INFO  c.e.b.functions.TodayReceiptFilter - Receipt time: 2025-05-19 10:10:30, Today: 2025-05-19, Filter result: true
10:10:30.455 [Legacy Source Thread - Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] INFO  c.e.brand_sales.BrandAnalyticsApp - 영수증 수신: franchise_id=13, brand=역전우동0410, store=일산역어반스카이점, time=2025-05-19 10:10:30, amount=62500
10:10:30.456 [Legacy Source Thread - Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] INFO  c.e.b.functions.TodayReceiptFilter - Receipt time: 2025-05-19 10:10:30, Today: 2025-05-19, Filter result: true
10:10:30.457 [Legacy Source Thread - Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] INFO  c.e.brand_sales.BrandAnalyticsApp - 영수증 수신: franchise_id=17, brand=제순식당, store=대전카이스트점, time=2025-05-19 10:10:30, amount=36000
10:10:30.457 [Legacy Source Thread - Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] INFO  c.e.b.functions.TodayReceiptFilter - Receipt time: 2025-05-19 10:10:30, Today: 2025-05-19, Filter result: true
10:10:30.551 [브랜드별 최고 매출 스토어 분석 -> (Sink: 브랜드별 베스트 스토어 싱크, Sink: Print to Std. Out) (1/1)#0] INFO  c.e.b.f.BrandBestStoreProcessor - Updated store sales - franchise_id: 2, brand: 대한국밥, store: 구미봉곡로점, amount: 98000, total: 273000
10:10:30.551 [1분 단위 브랜드별 매출 집계 -> (Sink: 브랜드별 매출 싱크, Sink: Print to Std. Out) (1/1)#0] INFO  c.e.b.f.MinuteBrandSalesProcessor - Updated brand sales - franchise_id: 2, brand: 대한국밥, current sales: 273000, stores: 1
10:10:30.552 [1분 단위 브랜드별 매출 집계 -> (Sink: 브랜드별 매출 싱크, Sink: Print to Std. Out) (1/1)#0] INFO  c.e.b.f.MinuteBrandSalesProcessor - Updated brand sales - franchise_id: 9, brand: 본가, current sales: 139000, stores: 1
10:10:30.552 [브랜드별 최고 매출 스토어 분석 -> (Sink: 브랜드별 베스트 스토어 싱크, Sink: Print to Std. Out) (1/1)#0] INFO  c.e.b.f.BrandBestStoreProcessor - Updated store sales - franchise_id: 9, brand: 본가, store: 파주운정점, amount: 139000, total: 139000
10:10:30.552 [1분 단위 브랜드별 매출 집계 -> (Sink: 브랜드별 매출 싱크, Sink: Print to Std. Out) (1/1)#0] INFO  c.e.b.f.MinuteBrandSalesProcessor - Updated brand sales - franchise_id: 2, brand: 대한국밥, current sales: 309000, stores: 1
10:10:30.552 [브랜드별 최고 매출 스토어 분석 -> (Sink: 브랜드별 베스트 스토어 싱크, Sink: Print to Std. Out) (1/1)#0] INFO  c.e.b.f.BrandBestStoreProcessor - Updated store sales - franchise_id: 2, brand: 대한국밥, store: 구미봉곡로점, amount: 36000, total: 309000
10:10:30.553 [1분 단위 브랜드별 매출 집계 -> (Sink: 브랜드별 매출 싱크, Sink: Print to Std. Out) (1/1)#0] INFO  c.e.b.f.MinuteBrandSalesProcessor - Updated brand sales - franchise_id: 13, brand: 역전우동0410, current sales: 127000, stores: 2
